CASEID,HELPFUL,FAIR,TRUST,YEAR,AGE,SEX,RACE,HISPANIC,EDUC,DEGREE,MARITAL
  309,8,1,2,1972,30,1,2, 0,11,1,1
  310,2,2,1,1972,59,2,2, 0, 9,0,1
  311,1,2,2,1972,42,2,2, 0,12,1,4
  312,2,2,1,1972,55,2,2, 0,11,1,4
  313,1,2,2,1972,24,1,2, 0,12,1,1
  314,2,2,2,1972,30,1,2, 0, 7,0,4
  315,1,1,2,1972,70,1,2, 0, 0,0,5
  316,1,2,2,1972,43,2,2, 0, 7,0,2
  317,2,1,2,1972,45,1,1, 0,11,0,1
  318,3,3,1,1972,25,1,1, 0,16,3,1
  319,1,1,1,1972,37,2,1, 0, 0,0,3
  320,2,1,2,1972,22,1,1, 0,14,1,5
  321,1,1,2,1972,27,2,1, 0, 8,0,5
  322,1,2,1,1972,28,2,1, 0,18,4,5
  323,1,2,1,1972,42,1,1, 0,12,1,3
  324,1,1,2,1972,42,2,1, 0, 3,0,5
  325,2,2,1,1972,30,1,1, 0,12,1,1
  326,2,2,2,1972,40,2,1, 0,12,1,1
  327,1,2,1,1972,37,1,1, 0,18,4,1
  328,2,2,1,1972,24,2,1, 0,16,3,5
  329,1,2,1,1972,46,1,1, 0,12,1,1
  330,1,2,1,1972,53,2,1, 0,12,1,1
  331,1,2,1,1972,64,1,1, 0,11,1,1
  332,1,2,1,1972,20,2,1, 0,13,1,1
  333,2,2,1,1972,60,1,1, 0, 8,0,1
  334,2,2,1,1972,33,1,1, 0,16,3,1
  335,1,2,1,1972,70,2,1, 0,16,3,5
  336,1,2,1,1972,60,1,1, 0, 3,0,1
  337,1,2,1,1972,26,2,1, 0,11,0,1
  338,2,1,2,1972,74,2,1, 0, 3,0,2
  339,1,2,1,1972,33,2,1, 0,11,0,1
  340,1,1,2,1972,23,2,2, 0,11,0,1
  341,1,2,2,1972,19,1,2, 0,12,0,5
  342,2,2,2,1972,59,2,2, 0, 4,0,1
  343,2,2,2,1972,70,2,2, 0, 9,0,1
  344,2,2,2,1972,52,1,2, 0, 2,0,1
  345,3,1,2,1972,99,2,2, 0, 0,0,2
  346,2,1,2,1972,75,1,2, 0, 2,0,2
  347,2,2,2,1972,49,2,1, 0, 8,0,1
  348,2,1,2,1972,49,1,1, 0, 8,0,1
  349,2,2,1,1972,46,1,1, 0,14,0,1
  350,1,2,1,1972,45,2,1, 0,12,1,2
  351,1,2,1,1972,28,2,1, 0,17,3,5
  352,2,1,2,1972,23,1,1, 0,12,1,1
  353,1,2,1,1972,64,1,1, 0,12,1,1
  354,1,2,1,1972,33,2,2, 0,12,1,1
  355,1,2,1,1972,69,2,2, 0, 6,0,1
  356,2,3,2,1972,72,1,2, 0, 5,0,1
  357,1,2,1,1972,59,1,2, 0, 8,0,1
  358,1,2,1,1972,69,2,2, 0, 6,0,1
  359,1,2,1,1972,58,2,2, 0, 9,0,1
  360,1,2,1,1972,53,1,2, 0, 9,0,3
  361,1,1,2,1972,62,1,2, 0, 5,0,2
  362,2,2,1,1972,58,1,1, 0, 8,0,1
  363,1,1,2,1972,32,2,1, 0,14,1,1
  364,1,1,1,1972,58,2,1, 0,12,1,1
  365,1,2,2,1972,70,2,1, 0,12,1,1
  366,1,2,1,1972,69,1,1, 0, 8,0,1
  367,1,2,1,1972,36,1,1, 0,10,0,1
  368,1,2,1,1972,47,1,1, 0, 9,0,1
  369,2,2,1,1972,31,1,1, 0,12,0,1
  370,1,2,2,1972,81,2,1, 0, 5,0,2
  371,2,2,1,1972,24,1,1, 0,12,1,1
  372,1,2,1,1972,51,2,1, 0,12,1,1
  373,2,1,2,1972,69,2,1, 0, 3,0,2
  374,1,2,1,1972,30,2,1, 0,12,1,1
  375,1,2,1,1972,69,1,1, 0,12,0,5
  376,2,2,1,1972,45,1,1, 0,11,0,1
  377,2,1,2,1972,24,1,1, 0,12,1,1
  378,3,2,3,1972,66,1,1, 0, 7,0,1
  379,2,1,3,1972,29,2,1, 0,12,1,1
  380,2,1,2,1972,57,2,1, 0, 8,0,1
  381,1,2,2,1972,58,1,1, 0, 8,0,1
  382,1,8,3,1972,77,1,1, 0, 8,0,2
  383,2,2,2,1972,30,2,1, 0,18,4,1
  384,2,2,2,1972,56,2,1, 0,12,1,2
  385,1,2,1,1972,49,2,1, 0,13,1,1
  386,3,2,2,1972,52,2,1, 0,10,0,1
